Canal,Treatment,Transect,Substrate,Bottle,Event,Date,Biomass_per_Area,TSS.mgmL,Ext.Coeff,PAR.30da,AQI.30da,PM.30da,SpC.uS.cm.,pH,Temp.30da,o.Phosphate.ug.L.PW,Ammonium.mg.L.PW,Fluoride.ppb.PW,Nitrite.ppb.PW,Bromide.ppb.PW,Nitrate.ppb.PW,TDC.mg.L.PW,DOC.mg.L.PW,TDN.ug.L.PW,o.Phosphate.ug.L.SW,Ammonium.mg.L.SW,Fluoride.ppb.SW,Nitrite.ppb.SW,Bromide.ppb.SW,Nitrate.ppb.SW,TDC.mg.L.SW,DOC.mg.L.SW,TDN.ug.L.SW,Flow.cms.30da,Sed.Bulk.Density.g.mL.,Sed.PercentOM,Sed.pH,GPP.mg.per.g.per.hr,CR.mg.per.g.per.hr,WinklerTotalSed.g,WinklerSedOM.g,WinklerSedPerOM
A,C,2,Plant,122B,2,7/6/2021,2.786946158,0.006911765,0.0278,705.6437839,49.3,4.147666667,360,8.06,20.73907909,33.322,0.072834397,110.1917808,5,5,219.0227273,3.533294355,2.501174897,297.6507937,NA,0.045533306,276.0410959,48.83870968,40.33333333,215.3181818,25.52705775,15.06383604,518.047619,3.67690166,2.0314,0.47,7.74,0,1.15218305,NA,NA,NA
A,C,2,Plant,122C,2,7/6/2021,2.786946158,0.006911765,0.0278,705.6437839,49.3,4.147666667,360,8.06,20.73907909,33.322,0.072834397,110.1917808,5,5,219.0227273,3.533294355,2.501174897,297.6507937,NA,0.045533306,276.0410959,48.83870968,40.33333333,215.3181818,25.52705775,15.06383604,518.047619,3.67690166,2.0314,0.47,7.74,0,1.125675695,NA,NA,NA
A,C,2,Sed,121A,2,7/6/2021,2.786946158,0.006911765,0.0278,705.6437839,49.3,4.147666667,360,8.06,20.73907909,33.322,0.072834397,110.1917808,5,5,219.0227273,3.533294355,2.501174897,297.6507937,NA,0.045533306,276.0410959,48.83870968,40.33333333,215.3181818,25.52705775,15.06383604,518.047619,3.67690166,2.0314,0.47,7.74,NA,0.469217687,66.87,0.28,0.418722895
A,C,2,Sed,121B,2,7/6/2021,2.786946158,0.006911765,0.0278,705.6437839,49.3,4.147666667,360,8.06,20.73907909,33.322,0.072834397,110.1917808,5,5,219.0227273,3.533294355,2.501174897,297.6507937,NA,0.045533306,276.0410959,48.83870968,40.33333333,215.3181818,25.52705775,15.06383604,518.047619,3.67690166,2.0314,0.47,7.74,NA,0.448349694,67.45,0.33,0.489251297
A,C,2,Sed,121C,2,7/6/2021,2.786946158,0.006911765,0.0278,705.6437839,49.3,4.147666667,360,8.06,20.73907909,33.322,0.072834397,110.1917808,5,5,219.0227273,3.533294355,2.501174897,297.6507937,NA,0.045533306,276.0410959,48.83870968,40.33333333,215.3181818,25.52705775,15.06383604,518.047619,3.67690166,2.0314,0.47,7.74,NA,0.452959423,69.38,0.28,0.403574517
A,C,2,NA,NA,1,6/7/2021,8.07161013,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,NA,NA,NA,NA,NA,NA,NA,NA
A,C,2,NA,NA,3,8/10/2021,0,0.057808219,0.0455,630.4937558,77.63333333,46.69633333,380.4,8.03,23.81792718,31.2085,0.050344035,98.34931509,5,5,238.1818182,NA,NA,NA,22.205,0.027995269,362,5,44.77777778,83.09090909,27.15604496,16.43454848,415.1904762,4.491551738,NA,NA,NA,NA,NA,NA,NA,NA
A,C,3,Plant,21A,1,6/7/2021,8.619080873,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,2.0542,0.51,7.43,2.09565737,0.972153817,NA,NA,NA
A,C,3,Plant,21B,1,6/7/2021,8.619080873,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,2.0542,0.51,7.43,3.456864181,1.628153991,NA,NA,NA
A,C,3,Plant,21C,1,6/7/2021,8.619080873,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,2.0542,0.51,7.43,0,1.608799063,NA,NA,NA
A,C,3,Sed,97A,1,6/7/2021,8.619080873,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,2.0542,0.51,7.43,NA,0.498218498,69.7,0.29,0.416068867
A,C,3,Sed,97B,1,6/7/2021,8.619080873,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,2.0542,0.51,7.43,NA,0.37207801,65.63,0.29,0.441871096
A,C,3,Sed,97C,1,6/7/2021,8.619080873,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,2.0542,0.51,7.43,NA,0.479025243,68.87,0.3,0.435603311
A,C,4,NA,NA,2,7/6/2021,41.2247453,0.006911765,0.0278,705.6437839,49.3,4.147666667,360,8.06,20.73907909,33.322,0.072834397,110.1917808,5,5,219.0227273,3.533294355,2.501174897,297.6507937,NA,0.045533306,276.0410959,48.83870968,40.33333333,215.3181818,25.52705775,15.06383604,518.047619,3.67690166,NA,NA,NA,NA,NA,NA,NA,NA
A,C,4,NA,NA,1,6/7/2021,6.831081765,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,NA,NA,NA,NA,NA,NA,NA,NA
A,C,5,Plant,128A,2,7/6/2021,9.684171532,0.006911765,0.0278,705.6437839,49.3,4.147666667,360,8.06,20.73907909,33.322,0.072834397,110.1917808,5,5,219.0227273,3.533294355,2.501174897,297.6507937,NA,0.045533306,276.0410959,48.83870968,40.33333333,215.3181818,25.52705775,15.06383604,518.047619,3.67690166,NA,NA,NA,1.412112536,1.01982518,NA,NA,NA
A,C,5,Plant,128B,2,7/6/2021,9.684171532,0.006911765,0.0278,705.6437839,49.3,4.147666667,360,8.06,20.73907909,33.322,0.072834397,110.1917808,5,5,219.0227273,3.533294355,2.501174897,297.6507937,NA,0.045533306,276.0410959,48.83870968,40.33333333,215.3181818,25.52705775,15.06383604,518.047619,3.67690166,NA,NA,NA,0,0.856257883,NA,NA,NA
A,C,5,Plant,128C,2,7/6/2021,9.684171532,0.006911765,0.0278,705.6437839,49.3,4.147666667,360,8.06,20.73907909,33.322,0.072834397,110.1917808,5,5,219.0227273,3.533294355,2.501174897,297.6507937,NA,0.045533306,276.0410959,48.83870968,40.33333333,215.3181818,25.52705775,15.06383604,518.047619,3.67690166,NA,NA,NA,0,1.062072073,NA,NA,NA
A,C,5,Plant,67A,1,6/7/2021,8.133354364,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,1.9722,0.45,7.24,0.408070624,1.003447986,NA,NA,NA
A,C,5,Plant,67B,1,6/7/2021,8.133354364,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,1.9722,0.45,7.24,0,1.561844221,NA,NA,NA
A,C,5,Plant,67C,1,6/7/2021,8.133354364,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,1.9722,0.45,7.24,3.278772935,5.096890269,NA,NA,NA
A,C,5,Sed,116A,3,8/10/2021,0,0.057808219,0.0455,630.4937558,77.63333333,46.69633333,380.4,8.03,23.81792718,31.2085,0.050344035,98.34931509,5,5,238.1818182,NA,NA,NA,22.205,0.027995269,362,5,44.77777778,83.09090909,27.15604496,16.43454848,415.1904762,4.491551738,1.895,0.6,7.46,NA,2.870309921,62.08,0.41,0.660438144
A,C,5,Sed,116B,3,8/10/2021,0,0.057808219,0.0455,630.4937558,77.63333333,46.69633333,380.4,8.03,23.81792718,31.2085,0.050344035,98.34931509,5,5,238.1818182,NA,NA,NA,22.205,0.027995269,362,5,44.77777778,83.09090909,27.15604496,16.43454848,415.1904762,4.491551738,1.895,0.6,7.46,NA,1.995435559,59.82,0.33,0.551654965
A,C,5,Sed,116C,3,8/10/2021,0,0.057808219,0.0455,630.4937558,77.63333333,46.69633333,380.4,8.03,23.81792718,31.2085,0.050344035,98.34931509,5,5,238.1818182,NA,NA,NA,22.205,0.027995269,362,5,44.77777778,83.09090909,27.15604496,16.43454848,415.1904762,4.491551738,1.895,0.6,7.46,NA,2.487565255,63.89,0.3,0.469557051
A,C,5,Sed,71A,1,6/7/2021,8.133354364,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,1.9722,0.45,7.24,NA,0.429769148,62.74,0.27,0.430347466
A,C,5,Sed,71B,1,6/7/2021,8.133354364,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,1.9722,0.45,7.24,NA,NA,63.8,0.22,0.344827586
A,C,5,Sed,71C,1,6/7/2021,8.133354364,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,1.9722,0.45,7.24,NA,0.440794355,64.38,0.24,0.37278658
A,T,1,NA,NA,3,8/10/2021,0,0.057808219,0.0455,630.4937558,77.63333333,46.69633333,380.4,8.03,23.81792718,31.2085,0.050344035,98.34931509,5,5,238.1818182,NA,NA,NA,22.205,0.027995269,362,5,44.77777778,83.09090909,27.15604496,16.43454848,415.1904762,4.491551738,NA,NA,NA,NA,NA,NA,NA,NA
A,T,1,NA,NA,2,7/6/2021,43.74319957,0.006911765,0.0278,705.6437839,49.3,4.147666667,360,8.06,20.73907909,33.322,0.072834397,110.1917808,5,5,219.0227273,3.533294355,2.501174897,297.6507937,NA,0.045533306,276.0410959,48.83870968,40.33333333,215.3181818,25.52705775,15.06383604,518.047619,3.67690166,NA,NA,NA,NA,NA,NA,NA,NA
A,T,2,NA,NA,3,8/10/2021,0,0.057808219,0.0455,630.4937558,77.63333333,46.69633333,380.4,8.03,23.81792718,31.2085,0.050344035,98.34931509,5,5,238.1818182,NA,NA,NA,22.205,0.027995269,362,5,44.77777778,83.09090909,27.15604496,16.43454848,415.1904762,4.491551738,NA,NA,NA,NA,NA,NA,NA,NA
A,T,4,NA,NA,2,7/6/2021,39.3891574,0.006911765,0.0278,705.6437839,49.3,4.147666667,360,8.06,20.73907909,33.322,0.072834397,110.1917808,5,5,219.0227273,3.533294355,2.501174897,297.6507937,NA,0.045533306,276.0410959,48.83870968,40.33333333,215.3181818,25.52705775,15.06383604,518.047619,3.67690166,NA,NA,NA,NA,NA,NA,NA,NA
A,T,4,NA,NA,3,8/10/2021,0,0.057808219,0.0455,630.4937558,77.63333333,46.69633333,380.4,8.03,23.81792718,31.2085,0.050344035,98.34931509,5,5,238.1818182,NA,NA,NA,22.205,0.027995269,362,5,44.77777778,83.09090909,27.15604496,16.43454848,415.1904762,4.491551738,NA,NA,NA,NA,NA,NA,NA,NA
A,T,5,NA,NA,2,7/6/2021,21.29341757,0.006911765,0.0278,705.6437839,49.3,4.147666667,360,8.06,20.73907909,33.322,0.072834397,110.1917808,5,5,219.0227273,3.533294355,2.501174897,297.6507937,NA,0.045533306,276.0410959,48.83870968,40.33333333,215.3181818,25.52705775,15.06383604,518.047619,3.67690166,NA,NA,NA,NA,NA,NA,NA,NA
A,T,6,Plant,137A,2,7/6/2021,17.133333,0.006911765,0.0278,705.6437839,49.3,4.147666667,360,8.06,20.73907909,33.322,0.072834397,110.1917808,5,5,219.0227273,3.533294355,2.501174897,297.6507937,NA,0.045533306,276.0410959,48.83870968,40.33333333,215.3181818,25.52705775,15.06383604,518.047619,3.67690166,NA,NA,NA,0.775486472,0.976326738,NA,NA,NA
A,T,6,Plant,137B,2,7/6/2021,17.133333,0.006911765,0.0278,705.6437839,49.3,4.147666667,360,8.06,20.73907909,33.322,0.072834397,110.1917808,5,5,219.0227273,3.533294355,2.501174897,297.6507937,NA,0.045533306,276.0410959,48.83870968,40.33333333,215.3181818,25.52705775,15.06383604,518.047619,3.67690166,NA,NA,NA,0.042929061,1.318202345,NA,NA,NA
A,T,6,Plant,137C,2,7/6/2021,17.133333,0.006911765,0.0278,705.6437839,49.3,4.147666667,360,8.06,20.73907909,33.322,0.072834397,110.1917808,5,5,219.0227273,3.533294355,2.501174897,297.6507937,NA,0.045533306,276.0410959,48.83870968,40.33333333,215.3181818,25.52705775,15.06383604,518.047619,3.67690166,NA,NA,NA,0.409810443,1.102170433,NA,NA,NA
A,T,6,Sed,10A,1,6/7/2021,3.29879229,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,1.9898,0.45,6.45,NA,NA,69.55,0.25,0.35945363
A,T,6,Sed,10B,1,6/7/2021,3.29879229,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,1.9898,0.45,6.45,NA,0.564096231,66.08,0.29,0.438861985
A,T,6,Sed,10C,1,6/7/2021,3.29879229,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,1.9898,0.45,6.45,NA,0.468077009,68.49,0.28,0.408818806
A,T,6,NA,NA,3,8/10/2021,0,0.057808219,0.0455,630.4937558,77.63333333,46.69633333,380.4,8.03,23.81792718,31.2085,0.050344035,98.34931509,5,5,238.1818182,NA,NA,NA,22.205,0.027995269,362,5,44.77777778,83.09090909,27.15604496,16.43454848,415.1904762,4.491551738,NA,NA,NA,NA,NA,NA,NA,NA
A,T,7,Plant,140A,2,7/6/2021,9.454000582,0.006911765,0.0278,705.6437839,49.3,4.147666667,360,8.06,20.73907909,33.322,0.072834397,110.1917808,5,5,219.0227273,3.533294355,2.501174897,297.6507937,NA,0.045533306,276.0410959,48.83870968,40.33333333,215.3181818,25.52705775,15.06383604,518.047619,3.67690166,1.763,1.59,6.14,0,1.20298015,NA,NA,NA
A,T,7,Plant,140B,2,7/6/2021,9.454000582,0.006911765,0.0278,705.6437839,49.3,4.147666667,360,8.06,20.73907909,33.322,0.072834397,110.1917808,5,5,219.0227273,3.533294355,2.501174897,297.6507937,NA,0.045533306,276.0410959,48.83870968,40.33333333,215.3181818,25.52705775,15.06383604,518.047619,3.67690166,1.763,1.59,6.14,0.020546028,1.294589644,NA,NA,NA
A,T,7,Plant,140C,2,7/6/2021,9.454000582,0.006911765,0.0278,705.6437839,49.3,4.147666667,360,8.06,20.73907909,33.322,0.072834397,110.1917808,5,5,219.0227273,3.533294355,2.501174897,297.6507937,NA,0.045533306,276.0410959,48.83870968,40.33333333,215.3181818,25.52705775,15.06383604,518.047619,3.67690166,1.763,1.59,6.14,1.992675668,1.178671913,NA,NA,NA
A,T,7,Sed,139A,2,7/6/2021,9.454000582,0.006911765,0.0278,705.6437839,49.3,4.147666667,360,8.06,20.73907909,33.322,0.072834397,110.1917808,5,5,219.0227273,3.533294355,2.501174897,297.6507937,NA,0.045533306,276.0410959,48.83870968,40.33333333,215.3181818,25.52705775,15.06383604,518.047619,3.67690166,1.763,1.59,6.14,NA,1.078362291,45.8,0.74,1.615720524
A,T,7,Sed,139B,2,7/6/2021,9.454000582,0.006911765,0.0278,705.6437839,49.3,4.147666667,360,8.06,20.73907909,33.322,0.072834397,110.1917808,5,5,219.0227273,3.533294355,2.501174897,297.6507937,NA,0.045533306,276.0410959,48.83870968,40.33333333,215.3181818,25.52705775,15.06383604,518.047619,3.67690166,1.763,1.59,6.14,NA,0.963111303,54.47,0.85,1.560492014
A,T,7,Sed,139C,2,7/6/2021,9.454000582,0.006911765,0.0278,705.6437839,49.3,4.147666667,360,8.06,20.73907909,33.322,0.072834397,110.1917808,5,5,219.0227273,3.533294355,2.501174897,297.6507937,NA,0.045533306,276.0410959,48.83870968,40.33333333,215.3181818,25.52705775,15.06383604,518.047619,3.67690166,1.763,1.59,6.14,NA,0.789491213,56.04,0.96,1.713062099
A,T,7,NA,NA,1,6/7/2021,2.40155636,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,NA,NA,NA,NA,NA,NA,NA,NA
A,T,8,Sed,118A,3,8/10/2021,0,0.057808219,0.0455,630.4937558,77.63333333,46.69633333,380.4,8.03,23.81792718,31.2085,0.050344035,98.34931509,5,5,238.1818182,NA,NA,NA,22.205,0.027995269,362,5,44.77777778,83.09090909,27.15604496,16.43454848,415.1904762,4.491551738,1.8734,0.79,7.45,NA,0.781584169,62.32,0.48,0.770218228
A,T,8,Sed,118B,3,8/10/2021,0,0.057808219,0.0455,630.4937558,77.63333333,46.69633333,380.4,8.03,23.81792718,31.2085,0.050344035,98.34931509,5,5,238.1818182,NA,NA,NA,22.205,0.027995269,362,5,44.77777778,83.09090909,27.15604496,16.43454848,415.1904762,4.491551738,1.8734,0.79,7.45,NA,0.87629523,67.27,0.48,0.713542441
A,T,8,Sed,118C,3,8/10/2021,0,0.057808219,0.0455,630.4937558,77.63333333,46.69633333,380.4,8.03,23.81792718,31.2085,0.050344035,98.34931509,5,5,238.1818182,NA,NA,NA,22.205,0.027995269,362,5,44.77777778,83.09090909,27.15604496,16.43454848,415.1904762,4.491551738,1.8734,0.79,7.45,NA,0.868000536,57.96,0.45,0.776397516
A,T,8,NA,NA,1,6/7/2021,1.626559525,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,NA,NA,NA,NA,NA,NA,NA,NA
A,T,9,Plant,72A,1,6/7/2021,6.415912815,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,1.9028,0.79,7.11,0,1.693826583,NA,NA,NA
A,T,9,Plant,72B,1,6/7/2021,6.415912815,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,1.9028,0.79,7.11,0,2.6719626,NA,NA,NA
A,T,9,Plant,72C,1,6/7/2021,6.415912815,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,1.9028,0.79,7.11,0,1.758275687,NA,NA,NA
A,T,9,Sed,60A,1,6/7/2021,6.415912815,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,1.9028,0.79,7.11,NA,0.376111785,63.05,0.91,1.443298969
A,T,9,Sed,60B,1,6/7/2021,6.415912815,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,1.9028,0.79,7.11,NA,NA,63.96,0.56,0.875547217
A,T,9,Sed,60C,1,6/7/2021,6.415912815,0.014320988,0.0363,667.4362493,47.66666667,2.396333333,266.4,8.34,16.84590408,NA,0.006941933,106.1369863,5,5,NA,2.610228676,1.815002774,192.9206349,7.181,0.008237761,224.0547945,5,37.11111111,62.90909091,22.68648087,13.53483894,279,2.467245015,1.9028,0.79,7.11,NA,0.421208753,58.91,0.71,1.205228314
A,T,10,Plant,146A,2,7/6/2021,26.1360844,0.006911765,0.0278,705.6437839,49.3,4.147666667,360,8.06,20.73907909,33.322,0.072834397,110.1917808,5,5,219.0227273,3.533294355,2.501174897,297.6507937,NA,0.045533306,276.0410959,48.83870968,40.33333333,215.3181818,25.52705775,15.06383604,518.047619,3.67690166,1.5412,2.91,6.66,0.050087623,1.499151242,NA,NA,NA
